,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
200,0.6489814519882202,0.5893648449039882,0.561100837808936,0.6428100812447772,0.6002622604395458,3.0513,1109.354,17.37,10.0
400,0.6302704215049744,0.6307237813884786,0.6292558146707539,0.6377239599258695,0.6341751820019621,3.0594,1106.424,17.324,10.0
600,0.5848458409309387,0.7028064992614476,0.7015572996382906,0.7121572909682412,0.7064391039021248,3.2098,1054.594,16.512,10.0
800,0.5408483147621155,0.7290989660265879,0.7290300069600915,0.731671985897722,0.7308540439014396,3.1087,1088.872,17.049,10.0
1000,0.5084332227706909,0.7521418020679468,0.7520101263161185,0.75568278523995,0.7542115159639373,3.1433,1076.91,16.862,10.0
