,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
200,0.6705802083015442,0.5790458372310571,0.5336075738824981,0.6070839487273472,0.569608652318809,3.1544,1016.69,16.168,10.0
400,0.6197621822357178,0.6541939507327721,0.6517620391607776,0.6548485940879596,0.6521827405238734,3.09,1037.863,16.505,10.0
600,0.5893101096153259,0.6919239164328033,0.6895403908018587,0.6935911729881813,0.6898213395832684,3.0539,1050.144,16.7,10.0
800,0.574964702129364,0.7043966323666978,0.7033443763924169,0.704547698992692,0.7032091911421186,3.2123,998.36,15.877,10.0
1000,0.5374374985694885,0.7383847832865607,0.7358525259484523,0.7422479504904675,0.735999353723487,3.2718,980.201,15.588,10.0
